id,categories,osd
7bce8db8-95d2-49cc-9a29-586485f5e3cb,79 7 56 3 33 53 26 18 61 23 102 31 14 42 9 52 44 112 77 81,0
67c45ee8-6fe3-4e03-ab6d-ddc543d3e6bd,6 7 37 79 56 3 14 1 35 28 71 0 26 31 23 2 39 19 33 100,0
af056e5f-6fbc-43f7-9453-cc0a727da007,4 37 5 56 71 7 31 131 26 14 40 130 27 76 28 16 3 33 125 19,0
f5d67a2e-754a-4fdf-8379-ec4d3bf82083,79 56 7 131 23 26 5 11 83 31 3 33 37 6 71 77 109 102 124 53,0
79e86062-6efd-4870-8879-2103f4226071,5 1 6 7 26 3 4 0 35 79 16 28 14 56 18 131 20 13 30 42,0
695d1912-6610-49ba-9bfe-0bf4aef8c528,7 6 5 3 10 1 26 131 12 35 37 0 23 27 45 30 41 125 36 108,0
9e701eac-8819-4572-97ec-24ff2c185076,7 6 5 26 3 1 23 19 37 16 28 79 49 83 0 46 57 56 33 89,0
93bea99c-ac92-4326-bc3b-f39f4fea5413,7 6 5 3 1 56 37 39 26 131 23 0 28 31 71 45 42 33 67 97,0
a59f2ea0-0975-4be7-abfc-6015d98733ee,39 8 32 3 66 6 26 70 31 10 75 85 67 64 82 113 50 41 49 73,0
c3218f60-9b63-4482-ad59-c05e988aae4a,79 7 6 14 1 5 23 91 2 3 37 26 27 19 130 33 28 89 120 57,0
e149686c-82b1-4476-bf67-1ded9978386e,7 56 37 71 14 23 5 31 4 3 130 97 67 22 83 33 76 112 77 16,1
24b19904-af08-405f-a657-5afe35f6b164,56 7 71 31 88 106 47 4 3 11 37 79 72 82 49 108 94 95 5 78,1
f0fff7e5-1993-4120-90b1-400b077d4e10,130 37 6 56 14 3 131 97 31 34 7 5 79 91 22 71 83 28 112 80,0
0d1f68e8-3230-4874-ae2b-c3ab4ee1f151,6 5 130 37 7 56 3 26 131 14 31 34 35 9 28 16 97 79 33 12,0
2e96f837-2cad-43a1-925f-9a06d7588199,7 5 71 23 91 14 76 31 3 26 33 123 30 1 89 18 131 125 83 74,0
e3eb9c27-7c40-4662-998d-fbc46ceb4839,7 10 0 3 26 23 1 30 35 45 37 121 101 12 28 16 56 100 34 8,0
b58a22fe-3073-4683-a219-98a4bde528f4,130 7 37 26 14 5 40 3 34 28 97 71 91 31 19 1 33 16 65 78,0
07bc437d-e1a9-49a8-8192-ab290ac08ba6,7 6 26 37 130 11 131 31 56 14 3 19 23 28 22 10 91 83 33 122,0
bceb2510-05f7-4e07-ac4c-552c2ca13548,7 5 4 71 26 56 131 11 31 9 79 1 30 23 14 83 119 74 33 3,0
eddd9e46-480a-4f4e-bc40-d2ebbf802cab,79 7 23 56 26 3 83 31 11 6 57 35 33 14 39 77 131 95 34 71,0
0bebd6f3-a36b-42eb-92ae-cf03257bfb43,7 56 71 5 23 3 14 26 37 34 47 9 91 28 31 33 22 106 35 52,0
28ab3f84-cd00-4691-aab6-794c4d5e9275,10 7 3 0 21 26 23 19 32 8 28 14 104 45 22 33 50 101 37 125,0
63b1f195-835c-4f96-90a7-53d827321a58,6 7 37 79 71 14 56 28 35 91 23 2 33 0 3 100 19 31 25 130,1
4816c1a0-5536-4f85-9b53-505b6bcaa07f,39 8 32 66 3 6 31 5 64 60 58 75 67 9 50 17 70 73 37 49,0
32603c4d-4b63-4f48-903c-34cc59f05d94,6 37 7 56 71 3 14 28 26 130 31 76 25 33 35 34 100 79 41 67,0
f368a8fb-b87e-493c-9273-f241186d5b56,7 11 131 31 3 45 28 49 33 61 47 76 113 95 89 12 30 73 106 120,0
79ec83ae-17c6-4f60-81db-96a33e09a9e9,79 7 6 56 4 71 23 26 31 37 5 18 14 11 33 3 35 41 83 34,0
4419721d-8359-41b7-a013-461f75972d3f,5 79 131 4 7 127 31 2 56 11 91 9 23 83 47 18 108 49 1 52,0
f9dae4f2-81d2-44f3-93cf-b98dd2dcbc1c,79 7 31 26 97 11 3 77 28 33 132 14 45 91 125 40 42 131 69 119,0
c5975a86-961a-4ae9-9d34-5d62c23173d8,39 8 5 6 3 10 32 26 66 23 11 131 64 37 120 21 47 18 43 125,0
4286d96c-9a0f-445c-9355-0ed5bbf2a4a6,10 5 14 1 7 13 9 26 79 30 3 12 0 17 28 45 20 2 16 49,0
f434cbb2-a3c7-472f-96a0-19745298b4fe,7 71 5 131 79 130 30 39 76 14 54 23 3 83 89 31 110 1 26 12,0
48a87899-d4e3-43ea-ac9c-f360d8a7212f,79 7 11 56 3 10 33 26 71 14 31 61 18 83 124 91 23 42 102 19,0
bb18f6ae-aff4-448f-b208-34d93efbac9f,79 7 56 3 33 53 26 61 18 42 31 23 102 44 14 81 52 9 123 10,0
54e1c27c-0629-490e-9b1c-a69fa9baaf77,10 26 3 7 6 23 12 5 1 0 11 37 30 35 27 39 19 28 45 33,0
1a226572-596c-4f03-ac69-7cc2785e9c67,79 7 31 56 11 131 26 97 3 77 14 132 33 19 126 119 35 45 83 91,0
70e6dd50-ce41-4c42-9d5f-cb9650e03b07,79 7 11 61 56 33 18 31 81 3 14 102 77 71 112 42 1 91 19 53,0
62e8aa54-661f-444a-b22c-b1d1780ec0fe,7 79 5 4 131 14 26 71 31 56 91 83 24 49 78 18 124 110 34 99,1
7092df3d-bd92-4d45-92a9-1d3af5a0d422,5 23 10 39 131 19 3 4 11 12 40 47 35 121 31 66 21 64 26 0,0
f8882caf-4f45-4e59-b10b-6e116a98add3,7 23 26 3 10 56 11 39 19 28 0 14 33 59 112 53 60 20 47 31,0
8e8d8a94-505c-4334-a25d-929430e47aca,6 5 7 10 56 23 19 3 1 0 28 26 37 16 4 113 49 93 101 83,0
ae59e833-17b7-4474-8db0-d5109488e9dd,5 37 31 23 6 71 3 131 14 28 26 1 56 7 49 35 33 58 91 67,0
094bed2e-7f06-4e68-a008-1e8576af9158,79 7 56 3 23 31 53 33 102 26 100 9 39 49 14 10 48 18 77 35,0
2bfc4786-c52f-4471-8efb-5a9ab40eb8d2,79 7 56 3 26 33 23 31 53 42 102 1 14 18 95 35 37 73 9 44,0
17aada35-c5f5-43e3-86dd-f0d712b94ded,7 79 71 6 56 23 108 49 120 128 14 18 76 31 106 112 131 37 90 124,0
